Line 1: expected <Detective : NP0> but got <Detective : AT0>
Line 2: expected <Chief : NP0> but got <Chief : AJ0>
Line 11: expected <before : PRP> but got <before : CJS>
Line 14: expected <Having : VHG> but got <Having : PNP>
Line 15: expected <thought : VVN> but got <thought : VVD>
Line 38: expected <New : AJ0> but got <New : NP0>
Line 48: expected <Sleep : NN1-VVB> but got <Sleep : PNP>
Line 57: expected <straight : AV0> but got <straight : AV0-AJ0>
Line 58: expected <on : AVP> but got <on : PRP>
Line 89: expected <He : PNP> but got <He : NP0>
Line 118: expected <He : PNP> but got <He : NP0>
Line 161: expected <He : PNP> but got <He : NP0>
Line 165: expected <off : PRP-AVP> but got <off : PRP>
Line 204: expected <How : AVQ> but got <How : PNP>
Line 211: expected <Bruce : NP0> but got <Bruce : CJC>
Line 220: expected <to : PRP> but got <to : TO0>
Line 226: expected <New : AJ0> but got <New : NP0>
Line 248: expected <Got : VVN-VVD> but got <Got : PNP>
Line 249: expected <that : DT0> but got <that : CJT>
Line 258: expected <I : PNP> but got <I : VM0>
Line 259: expected <hear : VVB> but got <hear : VVI>
Line 261: expected <'ve : VHI> but got <'ve : VHB>
Line 267: expected <Ye : PNP> but got <Ye : ITJ>
Line 283: expected <McLeish : NP0> but got <McLeish : PNP>
Line 286: expected <He : PNP> but got <He : NP0>
Line 302: expected <A : AT0> but got <A : AV0>
Line 353: expected <At : PRP> but got <At : AV0>
Line 410: expected <You : PNP> but got <You : AV0>
Line 425: expected <Even : AV0> but got <Even : PNP>
Line 444: expected <Catherine : NP0> but got <Catherine : CJC>
Line 459: expected <She : PNP> but got <She : NP0>
Line 482: expected <Every : AT0> but got <Every : DPS>
Line 512: expected <McLeish : NP0> but got <McLeish : PNP>
Line 528: expected <over : AV0> but got <over : PRP-AVP>
Line 537: expected <little : AV0-AJ0> but got <little : AJ0>
Line 548: expected <His : DPS> but got <His : NP0>
Line 584: expected <He : PNP> but got <He : NP0>
Line 596: expected <on : PRP-AVP> but got <on : PRP>
Line 602: expected <After : PRP> but got <After : PNP>
Line 619: expected <looking : VVG> but got <looking : PNP>
Line 635: expected <She : PNP> but got <She : NP0>
Line 655: expected <She : PNP> but got <She : NP0>
Line 662: expected <It : PNP> but got <It : EX0>
Line 670: expected <Thanks : NN2> but got <Thanks : PNP>
Line 682: expected <he : PNP> but got <he : NP0>
Line 696: expected <as : CJS> but got <as : CJC>
Line 705: expected <Darling : NN1> but got <Darling : PNP>
Line 714: expected <Can : VM0> but got <Can : CJS>
Line 730: expected <The : AT0> but got <The : DPS>
Line 744: expected <It : PNP> but got <It : EX0>
Line 748: expected <He : PNP> but got <He : NP0>
Line 756: expected <Better : AV0> but got <Better : VDB>
Line 768: expected <Oh : ITJ> but got <Oh : PNP>
